O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1021.00	1.C.3.a	Cooperation	IM	4.41	28	0.1432	4.1176	4.7051	N	08/2023	Incumbent
11-1021.00	1.C.3.b	Concern for Others	IM	4.28	28	0.1718	3.9249	4.6298	N	08/2023	Incumbent
11-1021.00	1.C.3.c	Social Orientation	IM	3.89	28	0.2503	3.3722	4.3994	N	08/2023	Incumbent
11-1021.00	1.C.4.a	Self-Control	IM	4.35	28	0.1868	3.9701	4.7367	N	08/2023	Incumbent
11-1021.00	1.C.4.b	Stress Tolerance	IM	4.44	28	0.1710	4.0904	4.7923	N	08/2023	Incumbent
11-1021.00	1.C.4.c	Adaptability/Flexibility	IM	4.35	28	0.1689	4.0016	4.6949	N	08/2023	Incumbent
11-1021.00	1.C.5.a	Dependability	IM	4.83	28	0.0985	4.6240	5.0000	N	08/2023	Incumbent
11-1021.00	1.C.5.b	Attention to Detail	IM	4.74	27	0.1256	4.4782	4.9945	N	08/2023	Incumbent
11-1021.00	1.C.5.c	Integrity	IM	4.84	28	0.0964	4.6427	5.0000	N	08/2023	Incumbent
11-1021.00	1.C.6	Independence	IM	4.14	28	0.1986	3.7285	4.5436	N	08/2023	Incumbent
11-1021.00	1.C.7.a	Innovation	IM	4.13	28	0.1940	3.7287	4.5246	N	08/2023	Incumbent
11-1021.00	1.C.7.b	Analytical Thinking	IM	4.17	28	0.2347	3.6836	4.6466	N	08/2023	Incumbent
11-2011.00	1.C.1.a	Achievement/Effort	IM	4.10	27	0.1589	3.7743	4.4275	N	08/2018	Incumbent
11-2011.00	1.C.1.b	Persistence	IM	4.32	27	0.1581	3.9955	4.6454	N	08/2018	Incumbent
11-2011.00	1.C.1.c	Initiative	IM	4.56	27	0.1085	4.3377	4.7838	N	08/2018	Incumbent
11-2011.00	1.C.2.b	Leadership	IM	4.03	27	0.1870	3.6423	4.4111	N	08/2018	Incumbent
11-2011.00	1.C.3.a	Cooperation	IM	4.51	27	0.1552	4.1862	4.8243	N	08/2018	Incumbent
11-2011.00	1.C.3.b	Concern for Others	IM	3.81	27	0.2067	3.3881	4.2377	N	08/2018	Incumbent
11-2011.00	1.C.3.c	Social Orientation	IM	3.70	27	0.2395	3.2118	4.1964	N	08/2018	Incumbent
11-2011.00	1.C.4.a	Self-Control	IM	4.18	26	0.2012	3.7698	4.5987	N	08/2018	Incumbent
11-2011.00	1.C.4.b	Stress Tolerance	IM	4.35	27	0.1511	4.0392	4.6605	N	08/2018	Incumbent
11-2011.00	1.C.4.c	Adaptability/Flexibility	IM	4.42	27	0.1435	4.1289	4.7188	N	08/2018	Incumbent
11-2011.00	1.C.5.a	Dependability	IM	4.51	27	0.1396	4.2244	4.7984	N	08/2018	Incumbent
11-2011.00	1.C.5.b	Attention to Detail	IM	4.48	27	0.1359	4.2005	4.7594	N	08/2018	Incumbent
11-2011.00	1.C.5.c	Integrity	IM	4.17	27	0.1647	3.8307	4.5079	N	08/2018	Incumbent
11-2011.00	1.C.6	Independence	IM	4.04	27	0.1474	3.7394	4.3453	N	08/2018	Incumbent
11-2011.00	1.C.7.a	Innovation	IM	3.99	27	0.1836	3.6148	4.3696	N	08/2018	Incumbent
11-2011.00	1.C.7.b	Analytical Thinking	IM	3.88	27	0.1539	3.5601	4.1926	N	08/2018	Incumbent
11-2021.00	1.C.1.a	Achievement/Effort	IM	4.32	37	0.1110	4.0954	4.5455	N	07/2015	Incumbent
11-2021.00	1.C.1.b	Persistence	IM	4.23	37	0.1742	3.8792	4.5857	N	07/2015	Incumbent
11-2021.00	1.C.1.c	Initiative	IM	4.53	37	0.2573	4.0110	5.0000	N	07/2015	Incumbent
11-2021.00	1.C.2.b	Leadership	IM	4.37	37	0.1896	3.9820	4.7512	N	07/2015	Incumbent
11-2021.00	1.C.3.a	Cooperation	IM	4.08	37	0.1956	3.6839	4.4772	N	07/2015	Incumbent
11-2021.00	1.C.3.b	Concern for Others	IM	3.37	36	0.2350	2.8896	3.8436	N	07/2015	Incumbent
11-2021.00	1.C.3.c	Social Orientation	IM	3.80	37	0.2114	3.3678	4.2252	N	07/2015	Incumbent
11-2021.00	1.C.4.a	Self-Control	IM	3.87	37	0.1925	3.4751	4.2558	N	07/2015	Incumbent
11-2021.00	1.C.4.b	Stress Tolerance	IM	4.01	37	0.2194	3.5676	4.4576	N	07/2015	Incumbent
11-2021.00	1.C.4.c	Adaptability/Flexibility	IM	4.31	37	0.1372	4.0359	4.5923	N	07/2015	Incumbent
11-2021.00	1.C.5.a	Dependability	IM	4.35	37	0.1710	4.0036	4.6972	N	07/2015	Incumbent
11-2021.00	1.C.5.b	Attention to Detail	IM	4.32	37	0.1587	3.9944	4.6380	N	07/2015	Incumbent
11-2021.00	1.C.5.c	Integrity	IM	4.17	37	0.1727	3.8156	4.5162	N	07/2015	Incumbent
11-2021.00	1.C.6	Independence	IM	3.88	37	0.1674	3.5450	4.2241	N	07/2015	Incumbent
11-2021.00	1.C.7.a	Innovation	IM	4.15	37	0.1419	3.8644	4.4400	N	07/2015	Incumbent
11-2021.00	1.C.7.b	Analytical Thinking	IM	4.00	37	0.1499	3.6931	4.3011	N	07/2015	Incumbent
11-2022.00	1.C.1.a	Achievement/Effort	IM	4.76	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1.C.1.b	Persistence	IM	4.76	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1.C.1.c	Initiative	IM	4.71	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1.C.2.b	Leadership	IM	4.52	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1.C.3.a	Cooperation	IM	4.19	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1.C.3.b	Concern for Others	IM	3.76	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1.C.3.c	Social Orientation	IM	4.05	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1.C.4.a	Self-Control	IM	3.90	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1.C.4.b	Stress Tolerance	IM	4.29	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1.C.4.c	Adaptability/Flexibility	IM	3.90	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1.C.5.a	Dependability	IM	4.14	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1.C.5.b	Attention to Detail	IM	3.90	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1.C.5.c	Integrity	IM	4.52	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1.C.6	Independence	IM	3.76	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1.C.7.a	Innovation	IM	3.05	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	1.C.7.b	Analytical Thinking	IM	3.76	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2033.00	1.C.1.a	Achievement/Effort	IM	4.36	19	0.1975	3.9468	4.7769	N	08/2025	Incumbent
11-2033.00	1.C.1.b	Persistence	IM	3.92	19	0.3051	3.2742	4.5562	N	08/2025	Incumbent
11-2033.00	1.C.1.c	Initiative	IM	4.45	19	0.1912	4.0460	4.8495	N	08/2025	Incumbent
11-2033.00	1.C.2.b	Leadership	IM	4.05	19	0.1415	3.7503	4.3449	N	08/2025	Incumbent
11-2033.00	1.C.3.a	Cooperation	IM	4.60	19	0.1183	4.3537	4.8506	N	08/2025	Incumbent
11-2033.00	1.C.3.b	Concern for Others	IM	4.08	18	0.2852	3.4833	4.6865	N	08/2025	Incumbent
11-2033.00	1.C.3.c	Social Orientation	IM	3.96	19	0.2988	3.3368	4.5921	N	08/2025	Incumbent
11-2033.00	1.C.4.a	Self-Control	IM	4.01	19	0.2711	3.4401	4.5791	N	08/2025	Incumbent
11-2033.00	1.C.4.b	Stress Tolerance	IM	4.28	19	0.2105	3.8365	4.7211	N	08/2025	Incumbent
11-2033.00	1.C.4.c	Adaptability/Flexibility	IM	4.05	19	0.3579	3.2965	4.8003	N	08/2025	Incumbent
11-2033.00	1.C.5.a	Dependability	IM	4.38	19	0.3154	3.7187	5.0000	N	08/2025	Incumbent
11-2033.00	1.C.5.b	Attention to Detail	IM	4.51	19	0.2055	4.0766	4.9400	N	08/2025	Incumbent
11-2033.00	1.C.5.c	Integrity	IM	4.61	19	0.2184	4.1518	5.0000	N	08/2025	Incumbent
11-2033.00	1.C.6	Independence	IM	3.81	19	0.3468	3.0862	4.5435	N	08/2025	Incumbent
11-2033.00	1.C.7.a	Innovation	IM	3.20	19	0.2212	2.7350	3.6643	N	08/2025	Incumbent
11-2033.00	1.C.7.b	Analytical Thinking	IM	3.80	19	0.4490	2.8534	4.7399	N	08/2025	Incumbent
11-3012.00	1.C.1.a	Achievement/Effort	IM	3.97	45	0.0854	3.7992	4.1433	N	07/2017	Incumbent
11-3012.00	1.C.1.b	Persistence	IM	3.98	45	0.1339	3.7073	4.2470	N	07/2017	Incumbent
11-3012.00	1.C.1.c	Initiative	IM	4.24	44	0.0857	4.0681	4.4137	N	07/2017	Incumbent
11-3012.00	1.C.2.b	Leadership	IM	3.95	45	0.2324	3.4813	4.4179	N	07/2017	Incumbent
11-3012.00	1.C.3.a	Cooperation	IM	4.30	45	0.0913	4.1128	4.4810	N	07/2017	Incumbent
11-3012.00	1.C.3.b	Concern for Others	IM	4.03	45	0.2286	3.5739	4.4952	N	07/2017	Incumbent
11-3012.00	1.C.3.c	Social Orientation	IM	3.65	45	0.1721	3.3076	4.0015	N	07/2017	Incumbent
11-3012.00	1.C.4.a	Self-Control	IM	4.53	44	0.1256	4.2754	4.7818	N	07/2017	Incumbent
11-3012.00	1.C.4.b	Stress Tolerance	IM	4.44	45	0.1437	4.1465	4.7257	N	07/2017	Incumbent
11-3012.00	1.C.4.c	Adaptability/Flexibility	IM	4.19	45	0.0858	4.0192	4.3650	N	07/2017	Incumbent
11-3012.00	1.C.5.a	Dependability	IM	4.69	45	0.0921	4.5050	4.8762	N	07/2017	Incumbent
11-3012.00	1.C.5.b	Attention to Detail	IM	4.34	45	0.1155	4.1068	4.5721	N	07/2017	Incumbent
11-3012.00	1.C.5.c	Integrity	IM	4.73	45	0.0944	4.5389	4.9192	N	07/2017	Incumbent
11-3012.00	1.C.6	Independence	IM	4.11	45	0.1124	3.8862	4.3392	N	07/2017	Incumbent
11-3012.00	1.C.7.a	Innovation	IM	3.85	45	0.0923	3.6635	4.0354	N	07/2017	Incumbent
11-3012.00	1.C.7.b	Analytical Thinking	IM	4.04	45	0.1173	3.8049	4.2778	N	07/2017	Incumbent
11-3013.00	1.C.1.a	Achievement/Effort	IM	4.02	33	0.1941	3.6285	4.4194	N	08/2024	Incumbent
11-3013.00	1.C.1.b	Persistence	IM	4.34	33	0.1524	4.0321	4.6531	N	08/2024	Incumbent
11-3013.00	1.C.1.c	Initiative	IM	4.40	33	0.1426	4.1105	4.6915	N	08/2024	Incumbent
11-3013.00	1.C.2.b	Leadership	IM	4.38	32	0.1471	4.0798	4.6799	N	08/2024	Incumbent
11-3013.00	1.C.3.a	Cooperation	IM	4.51	33	0.1434	4.2145	4.7987	N	08/2024	Incumbent
11-3013.00	1.C.3.b	Concern for Others	IM	4.51	33	0.1671	4.1698	4.8507	N	08/2024	Incumbent
11-3013.00	1.C.3.c	Social Orientation	IM	4.16	33	0.1874	3.7798	4.5434	N	08/2024	Incumbent
11-3013.00	1.C.4.a	Self-Control	IM	4.63	33	0.1391	4.3488	4.9154	N	08/2024	Incumbent
11-3013.00	1.C.4.b	Stress Tolerance	IM	4.52	33	0.1451	4.2283	4.8194	N	08/2024	Incumbent
11-3013.00	1.C.4.c	Adaptability/Flexibility	IM	4.39	32	0.1491	4.0868	4.6949	N	08/2024	Incumbent
11-3013.00	1.C.5.a	Dependability	IM	4.68	32	0.1335	4.4079	4.9526	N	08/2024	Incumbent
11-3013.00	1.C.5.b	Attention to Detail	IM	4.25	33	0.1329	3.9777	4.5191	N	08/2024	Incumbent
11-3013.00	1.C.5.c	Integrity	IM	4.78	33	0.1146	4.5498	5.0000	N	08/2024	Incumbent
11-3013.00	1.C.6	Independence	IM	4.36	33	0.1485	4.0572	4.6622	N	08/2024	Incumbent
11-3013.00	1.C.7.a	Innovation	IM	4.04	33	0.2644	3.5039	4.5811	N	08/2024	Incumbent
11-3013.00	1.C.7.b	Analytical Thinking	IM	4.11	33	0.2831	3.5311	4.6846	N	08/2024	Incumbent
11-3013.01	1.C.1.a	Achievement/Effort	IM	4.10	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	1.C.1.b	Persistence	IM	4.40	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	1.C.1.c	Initiative	IM	4.40	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	1.C.2.b	Leadership	IM	4.65	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	1.C.3.a	Cooperation	IM	4.30	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	1.C.3.b	Concern for Others	IM	4.20	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	1.C.3.c	Social Orientation	IM	3.75	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	1.C.4.a	Self-Control	IM	4.50	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	1.C.4.b	Stress Tolerance	IM	4.55	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	1.C.4.c	Adaptability/Flexibility	IM	4.40	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	1.C.5.a	Dependability	IM	4.75	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	1.C.5.b	Attention to Detail	IM	4.45	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	1.C.5.c	Integrity	IM	4.95	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	1.C.6	Independence	IM	3.95	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	1.C.7.a	Innovation	IM	3.55	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	1.C.7.b	Analytical Thinking	IM	3.90	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3021.00	1.C.1.a	Achievement/Effort	IM	3.91	26	0.2246	3.4473	4.3724	N	07/2016	Incumbent
11-3021.00	1.C.1.b	Persistence	IM	4.03	26	0.1715	3.6727	4.3793	N	07/2016	Incumbent
11-3021.00	1.C.1.c	Initiative	IM	4.36	26	0.1508	4.0503	4.6713	N	07/2016	Incumbent
11-3021.00	1.C.2.b	Leadership	IM	4.15	26	0.2855	3.5654	4.7415	N	07/2016	Incumbent
11-3021.00	1.C.3.a	Cooperation	IM	4.33	26	0.1834	3.9535	4.7089	N	07/2016	Incumbent
11-3021.00	1.C.3.b	Concern for Others	IM	3.71	26	0.3561	2.9770	4.4439	N	07/2016	Incumbent
11-3021.00	1.C.3.c	Social Orientation	IM	3.69	26	0.3958	2.8785	4.5088	N	07/2016	Incumbent
11-3021.00	1.C.4.a	Self-Control	IM	4.10	26	0.1719	3.7494	4.4576	N	07/2016	Incumbent
11-3021.00	1.C.4.b	Stress Tolerance	IM	4.16	26	0.2250	3.7009	4.6276	N	07/2016	Incumbent
11-3021.00	1.C.4.c	Adaptability/Flexibility	IM	4.19	26	0.1197	3.9461	4.4392	N	07/2016	Incumbent
11-3021.00	1.C.5.a	Dependability	IM	4.54	26	0.1258	4.2767	4.7948	N	07/2016	Incumbent
11-3021.00	1.C.5.b	Attention to Detail	IM	4.67	25	0.1296	4.3980	4.9330	N	07/2016	Incumbent
11-3021.00	1.C.5.c	Integrity	IM	4.67	26	0.1339	4.3909	4.9425	N	07/2016	Incumbent
11-3021.00	1.C.6	Independence	IM	3.80	26	0.1804	3.4280	4.1713	N	07/2016	Incumbent
11-3021.00	1.C.7.a	Innovation	IM	3.70	26	0.2013	3.2902	4.1195	N	07/2016	Incumbent
11-3021.00	1.C.7.b	Analytical Thinking	IM	4.25	26	0.1675	3.9055	4.5952	N	07/2016	Incumbent
11-3031.00	1.C.1.a	Achievement/Effort	IM	4.06	17	0.1210	3.7995	4.3124	N	08/2022	Incumbent
11-3031.00	1.C.1.b	Persistence	IM	3.92	17	0.0690	3.7763	4.0689	N	08/2022	Incumbent
11-3031.00	1.C.1.c	Initiative	IM	4.07	17	0.0745	3.9151	4.2308	N	08/2022	Incumbent
11-3031.00	1.C.2.b	Leadership	IM	4.47	17	0.0954	4.2708	4.6754	N	08/2022	Incumbent
11-3031.00	1.C.3.a	Cooperation	IM	4.47	17	0.0890	4.2784	4.6559	N	08/2022	Incumbent
11-3031.00	1.C.3.b	Concern for Others	IM	4.31	17	0.2206	3.8397	4.7750	N	08/2022	Incumbent
11-3031.00	1.C.3.c	Social Orientation	IM	3.99	17	0.2686	3.4222	4.5609	N	08/2022	Incumbent
11-3031.00	1.C.4.a	Self-Control	IM	4.09	17	0.2840	3.4893	4.6934	N	08/2022	Incumbent
11-3031.00	1.C.4.b	Stress Tolerance	IM	4.20	16	0.1303	3.9185	4.4741	N	08/2022	Incumbent
11-3031.00	1.C.4.c	Adaptability/Flexibility	IM	4.16	17	0.1099	3.9277	4.3935	N	08/2022	Incumbent
11-3031.00	1.C.5.a	Dependability	IM	4.33	17	0.1708	3.9658	4.6898	N	08/2022	Incumbent
11-3031.00	1.C.5.b	Attention to Detail	IM	4.68	17	0.1110	4.4414	4.9121	N	08/2022	Incumbent
11-3031.00	1.C.5.c	Integrity	IM	4.55	17	0.2535	4.0127	5.0000	N	08/2022	Incumbent
11-3031.00	1.C.6	Independence	IM	4.06	17	0.2757	3.4782	4.6470	N	08/2022	Incumbent
11-3031.00	1.C.7.a	Innovation	IM	3.73	17	0.1551	3.3990	4.0568	N	08/2022	Incumbent
11-3031.00	1.C.7.b	Analytical Thinking	IM	4.19	17	0.1184	3.9437	4.4456	N	08/2022	Incumbent
11-3031.01	1.C.1.a	Achievement/Effort	IM	4.32	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	1.C.1.b	Persistence	IM	4.52	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	1.C.1.c	Initiative	IM	4.48	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	1.C.2.b	Leadership	IM	4.36	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	1.C.3.a	Cooperation	IM	4.32	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	1.C.3.b	Concern for Others	IM	3.64	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	1.C.3.c	Social Orientation	IM	3.52	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	1.C.4.a	Self-Control	IM	4.20	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	1.C.4.b	Stress Tolerance	IM	4.52	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	1.C.4.c	Adaptability/Flexibility	IM	4.40	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	1.C.5.a	Dependability	IM	4.76	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	1.C.5.b	Attention to Detail	IM	4.83	24	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	1.C.5.c	Integrity	IM	5.00	24	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	1.C.6	Independence	IM	4.08	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	1.C.7.a	Innovation	IM	3.71	24	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	1.C.7.b	Analytical Thinking	IM	4.62	24	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.03	1.C.1.a	Achievement/Effort	IM	4.56	24	0.1726	4.2003	4.9143	N	07/2014	Incumbent
11-3031.03	1.C.1.b	Persistence	IM	4.52	24	0.1691	4.1729	4.8726	N	07/2014	Incumbent
11-3031.03	1.C.1.c	Initiative	IM	4.49	24	0.2079	4.0559	4.9160	N	07/2014	Incumbent
11-3031.03	1.C.2.b	Leadership	IM	3.99	24	0.2300	3.5107	4.4623	N	07/2014	Incumbent
11-3031.03	1.C.3.a	Cooperation	IM	4.15	25	0.1516	3.8330	4.4586	N	07/2014	Incumbent
11-3031.03	1.C.3.b	Concern for Others	IM	3.04	25	0.1367	2.7620	3.3262	N	07/2014	Incumbent
11-3031.03	1.C.3.c	Social Orientation	IM	3.08	25	0.1980	2.6760	3.4931	N	07/2014	Incumbent
11-3031.03	1.C.4.a	Self-Control	IM	4.06	25	0.1440	3.7670	4.3614	N	07/2014	Incumbent
11-3031.03	1.C.4.b	Stress Tolerance	IM	4.61	25	0.1281	4.3496	4.8785	N	07/2014	Incumbent
11-3031.03	1.C.4.c	Adaptability/Flexibility	IM	3.75	25	0.1827	3.3756	4.1300	N	07/2014	Incumbent
11-3031.03	1.C.5.a	Dependability	IM	4.50	25	0.1562	4.1779	4.8227	N	07/2014	Incumbent
11-3031.03	1.C.5.b	Attention to Detail	IM	4.39	25	0.1249	4.1303	4.6459	N	07/2014	Incumbent
11-3031.03	1.C.5.c	Integrity	IM	4.92	25	0.0484	4.8220	5.0000	N	07/2014	Incumbent
11-3031.03	1.C.6	Independence	IM	3.70	25	0.2228	3.2416	4.1611	N	07/2014	Incumbent
11-3031.03	1.C.7.a	Innovation	IM	3.35	25	0.1319	3.0746	3.6189	N	07/2014	Incumbent
11-3031.03	1.C.7.b	Analytical Thinking	IM	4.79	25	0.0914	4.5999	4.9771	N	07/2014	Incumbent
11-3051.00	1.C.1.a	Achievement/Effort	IM	4.12	34	0.0801	3.9527	4.2787	N	08/2021	Incumbent
11-3051.00	1.C.1.b	Persistence	IM	4.19	34	0.1026	3.9841	4.4018	N	08/2021	Incumbent
11-3051.00	1.C.1.c	Initiative	IM	4.31	34	0.1297	4.0416	4.5695	N	08/2021	Incumbent
11-3051.00	1.C.2.b	Leadership	IM	4.49	34	0.1491	4.1903	4.7969	N	08/2021	Incumbent
11-3051.00	1.C.3.a	Cooperation	IM	4.29	34	0.1277	4.0313	4.5511	N	08/2021	Incumbent
11-3051.00	1.C.3.b	Concern for Others	IM	4.10	34	0.1464	3.8027	4.3986	N	08/2021	Incumbent
11-3051.00	1.C.3.c	Social Orientation	IM	3.61	33	0.1435	3.3212	3.9058	N	08/2021	Incumbent
11-3051.00	1.C.4.a	Self-Control	IM	4.28	34	0.2006	3.8740	4.6901	N	08/2021	Incumbent
11-3051.00	1.C.4.b	Stress Tolerance	IM	4.25	34	0.1346	3.9801	4.5278	N	08/2021	Incumbent
11-3051.00	1.C.4.c	Adaptability/Flexibility	IM	4.34	33	0.1683	4.0021	4.6876	N	08/2021	Incumbent
11-3051.00	1.C.5.a	Dependability	IM	4.43	34	0.1249	4.1793	4.6875	N	08/2021	Incumbent
